carro_id,marca,ano,quilometragem,motor,cambio,combustivel,cor,portas,dono_unico,ipva_pago,num_revisoes,preco
C1000,Hyundai,2013,181049,1.4,Manual,Gasolina,Preto,4,Sim,Nao,2,40920
C1001,Toyota,2007,90495,1.4,Automatico,Flex,Vermelho,4,Sim,Sim,2,57263
C1002,Chevrolet,2011,253429,2.0,Manual,Diesel,Branco,4,Nao,Nao,9,28876
C1003,Chevrolet,2013,130301,1.4,Manual,Flex,Prata,4,Nao,Sim,0,29109
C1004,Chevrolet,2010,173334,1.0,Automatico,Diesel,Azul,4,Sim,Sim,0,34702
C1005,Volkswagen,2014,93741,1.6,Manual,Gasolina,Cinza,2,Nao,Sim,6,56050
C1006,Hyundai,2021,51275,1.4,Manual,Gasolina,Branco,4,Nao,Sim,4,65009
C1007,Fiat,2023,12602,1.8,Automatico,Gasolina,Vermelho,4,Nao,Nao,7,74835
C1008,Volkswagen,2011,229828,1.0,Manual,Hibrido,Cinza,4,Sim,Nao,1,21726
C1009,Hyundai,2021,56243,1.0,Manual,Gasolina,Azul,4,Sim,Nao,6,64720
C1010,Hyundai,2010,212160,1.4,Manual,Flex,Preto,4,Nao,Sim,11,31369
C1011,Toyota,2013,107342,1.4,Automatico,Flex,Prata,4,Nao,Sim,4,81297
C1012,Fiat,2022,21606,1.4,Automatico,Flex,Prata,2,Sim,Sim,0,65182
C1013,Chevrolet,2019,8175,1.0,Manual,Flex,Prata,4,Nao,Sim,11,54547
C1014,Renault,2005,193900,1.6,Manual,Gasolina,Azul,4,Sim,Sim,5,9000
C1015,Jeep,2013,129948,1.0,Manual,Flex,Vermelho,4,Sim,Sim,8,80296
C1016,Honda,2017,144283,1.4,Manual,Diesel,Azul,4,Sim,Nao,3,65702
C1017,Fiat,2019,43385,1.4,Manual,Hibrido,Preto,4,Nao,Sim,4,49846
C1018,Renault,2023,16516,1.4,Automatico,Flex,Azul,4,Nao,Sim,9,68047
C1019,Fiat,2013,188542,1.4,Manual,Flex,Cinza,2,Sim,Sim,9,17441
C1020,Chevrolet,2022,23478,1.8,Manual,Diesel,Azul,4,Nao,Nao,6,72954
C1021,Chevrolet,2019,55238,1.4,Automatico,Gasolina,Cinza,4,Nao,Nao,0,61661
C1022,Volkswagen,2010,168468,1.0,Automatico,Flex,Cinza,4,Sim,Sim,7,40719
C1023,Fiat,2022,20940,1.8,Automatico,Flex,Branco,4,Nao,Sim,5,67709
C1024,Fiat,2009,177737,1.4,Manual,Flex,Cinza,4,Nao,Sim,8,16001
C1025,Hyundai,2013,59958,1.0,Manual,Diesel,Prata,4,Nao,Nao,8,41059
C1026,Fiat,2017,96553,1.0,Automatico,Gasolina,Branco,4,Nao,Nao,8,41724
C1027,Volkswagen,2023,9780,2.0,Automatico,Flex,Vermelho,4,Sim,Sim,11,99551
C1028,Fiat,2023,15840,1.0,Manual,Gasolina,Cinza,4,Nao,Sim,0,53517
C1029,Volkswagen,2012,262495,1.4,Manual,Flex,Preto,4,Nao,Sim,8,27099
C1030,Fiat,2020,57136,1.4,Automatico,Flex,Prata,4,Nao,Nao,7,59785
C1031,Fiat,2012,176255,1.4,Automatico,Flex,Azul,4,Sim,Sim,3,27398
C1032,Hyundai,2017,104190,1.6,Automatico,Gasolina,Cinza,4,Sim,Sim,10,58491
C1033,Chevrolet,2023,13761,1.0,Automatico,Flex,Branco,4,Nao,Sim,9,72408
C1034,Hyundai,2012,215443,1.4,Automatico,Diesel,Azul,2,Nao,Sim,4,39654
C1035,Chevrolet,2022,13069,1.6,Manual,Gasolina,Cinza,4,Nao,Sim,4,73490
C1036,Hyundai,2009,39931,1.6,Manual,Gasolina,Vermelho,2,Sim,Sim,7,45770
C1037,Volkswagen,2017,7598,2.0,Manual,Flex,Branco,4,Sim,Sim,11,72301
C1038,Honda,2005,300000,1.0,Manual,Gasolina,Prata,4,Nao,Nao,7,29164
C1039,Jeep,2016,105077,1.4,Manual,Flex,Prata,4,Sim,Sim,6,96457
C1040,Chevrolet,2019,98612,1.0,Manual,Flex,Vermelho,4,Nao,Sim,2,50945
C1041,Honda,2018,92380,1.0,Manual,Flex,Preto,4,Sim,Nao,9,82898
C1042,Fiat,2021,28866,1.0,Manual,Flex,Branco,4,Nao,Sim,4,54227
C1043,Volkswagen,2011,126470,1.8,Manual,Flex,Branco,2,Nao,Nao,4,45254
C1044,Fiat,2014,61686,1.0,Manual,Gasolina,Azul,4,Sim,Sim,5,37856
C1045,Hyundai,2013,135989,1.0,Manual,Flex,Preto,4,Sim,Sim,6,37085
C1046,Fiat,2011,212005,1.0,Automatico,Flex,Prata,4,Nao,Sim,5,15890
C1047,Volkswagen,2018,104864,1.4,Manual,Gasolina,Preto,4,Nao,Sim,6,66593
C1048,Fiat,2016,132531,1.0,Manual,Gasolina,Prata,4,Nao,Sim,4,30405
C1049,Volkswagen,2022,26820,1.4,Automatico,Diesel,Branco,4,Nao,Sim,7,74200
C1050,Renault,2014,0,1.6,Automatico,Flex,Cinza,4,Nao,Nao,11,46454
C1051,Hyundai,2019,76648,1.0,Automatico,Flex,Vermelho,4,Sim,Nao,7,56731
C1052,Volkswagen,2007,0,1.6,Manual,Flex,Preto,4,Sim,Sim,1,56144
C1053,Renault,2013,192096,2.0,Manual,Gasolina,Preto,4,Nao,Sim,0,27559
C1054,Volkswagen,2013,167877,1.0,Automatico,Flex,Vermelho,4,Sim,Sim,10,39452
C1055,Chevrolet,2016,61414,1.4,Automatico,Flex,Azul,4,Sim,Nao,5,57302
C1056,Fiat,2012,105244,2.0,Manual,Flex,Branco,2,Sim,Sim,11,37545
C1057,Hyundai,2011,300000,1.6,Manual,Hibrido,Cinza,4,Sim,Sim,4,27249
C1058,Fiat,2019,65736,2.0,Automatico,Flex,Branco,2,Sim,Sim,9,61990
C1059,Honda,2014,187696,1.4,Manual,Flex,Azul,4,Nao,Sim,7,61424
C1060,Renault,2021,23911,1.0,Manual,Gasolina,Cinza,4,Nao,Sim,1,49243
C1061,Chevrolet,2007,288174,1.4,Automatico,Flex,Azul,4,Nao,Sim,4,10548
C1062,Hyundai,2015,66463,1.0,Manual,Hibrido,Prata,4,Nao,Sim,1,48936
C1063,Fiat,2007,293476,1.0,Automatico,Flex,Azul,4,Nao,Nao,4,9000
C1064,Fiat,2010,219905,1.0,Manual,Diesel,Cinza,4,Nao,Sim,2,9000
C1065,Honda,2013,192832,1.0,Manual,Gasolina,Azul,4,Nao,Nao,7,57415
C1066,Volkswagen,2020,64286,2.0,Manual,Gasolina,Preto,4,Sim,Sim,0,73009
C1067,Jeep,2020,32664,1.4,Manual,Flex,Prata,4,Nao,Sim,3,100269
C1068,Jeep,2015,29371,1.6,Automatico,Gasolina,Branco,4,Nao,Sim,8,112105
C1069,Hyundai,2007,220497,1.0,Automatico,Flex,Preto,4,Sim,Sim,10,30078
C1070,Hyundai,2012,72578,1.0,Manual,Flex,Azul,4,Sim,Sim,3,42690
C1071,Honda,2023,16025,1.4,Automatico,Flex,Vermelho,4,Nao,Sim,5,99154
C1072,Hyundai,2015,42206,1.4,Automatico,Gasolina,Preto,4,Sim,Nao,5,61956
C1073,Chevrolet,2012,143067,1.0,Manual,Flex,Branco,4,Nao,Nao,5,33588
